Iteration #	Time (s)	Current (Set)	Time (s)	Current (Reset)
1	2.730000E+0	1.710000E-8	4.814000E+0	2.870000E-8
2	1.145800E+1	1.440000E-8	1.358000E+1	1.530000E-8
3	1.954400E+1	6.390000E-9	2.094300E+1	9.840000E-9
4	2.754400E+1	1.415000E-8	2.897400E+1	2.220000E-8
5	3.492100E+1	1.640000E-8	3.566900E+1	5.380000E-8
6	4.231900E+1	5.660000E-8	4.380600E+1	5.460000E-8
7	5.044500E+1	9.250000E-9	5.257100E+1	4.000000E-8
8	5.899100E+1	7.890000E-9	6.083800E+1	1.449000E-7
9	6.678000E+1	7.510000E-9	6.890800E+1	7.960000E-8
10	7.485600E+1	5.650000E-8	7.560400E+1	1.771000E-7
11	8.224800E+1	1.285000E-8	8.437300E+1	1.080000E-7
12	9.047600E+1	4.900000E-8	9.186100E+1	6.210000E-8
13	9.850400E+1	1.770000E-8	9.998000E+1	9.760000E-9
14	1.072700E+2	7.960000E-9	1.086930E+2	9.590000E-9
15	1.152960E+2	7.780000E-9	1.167200E+2	8.050000E-9
16	1.233220E+2	9.820000E-9	1.247490E+2	1.237000E-8
17	1.313400E+2	1.520000E-8	1.321140E+2	2.510000E-8
18	1.387640E+2	2.670000E-8	1.395140E+2	3.340000E-8
19	1.461630E+2	2.870000E-8	1.469130E+2	1.413000E-8
20	1.542030E+2	1.357000E-8	1.556300E+2	1.455000E-8
21	1.622300E+2	1.570000E-8	1.630030E+2	4.680000E-8
22	1.696460E+2	6.650000E-8	1.711210E+2	7.440000E-8
23	1.777650E+2	2.260000E-8	1.792580E+2	3.140000E-8
24	1.851840E+2	3.780000E-8	1.866580E+2	4.240000E-8
25	1.933060E+2	1.015000E-8	1.947020E+2	1.235000E-8
26	2.012940E+2	1.126000E-8	2.027200E+2	1.800000E-8
27	2.086770E+2	1.235000E-8	2.100730E+2	1.810000E-8
28	2.160200E+2	1.057000E-8	2.174180E+2	2.280000E-8
29	2.233720E+2	1.058000E-8	2.247650E+2	4.450000E-8
30	2.307120E+2	9.710000E-9	2.321110E+2	1.700000E-8
31	2.380580E+2	8.710000E-9	2.394560E+2	1.033000E-8
32	2.460480E+2	9.200000E-9	2.474720E+2	9.960000E-9
33	2.540630E+2	9.080000E-9	2.554860E+2	9.820000E-9
34	2.620920E+2	8.190000E-9	2.635220E+2	1.041000E-8
35	2.701110E+2	9.640000E-9	2.715340E+2	1.083000E-8
36	2.781230E+2	1.270000E-8	2.795480E+2	1.118000E-8
37	2.861400E+2	9.360000E-9	2.875580E+2	1.630000E-8
38	2.935060E+2	1.008000E-8	2.949030E+2	1.082000E-8
39	3.015040E+2	9.520000E-9	3.029290E+2	1.208000E-8
40	3.095210E+2	9.630000E-9	3.109450E+2	1.163000E-8
41	3.175370E+2	1.191000E-8	3.189620E+2	1.459000E-8
42	3.255490E+2	1.590000E-8	3.263260E+2	1.510000E-8
43	3.329820E+2	1.074000E-8	3.343800E+2	1.148000E-8
44	3.409670E+2	1.324000E-8	3.423930E+2	1.181000E-8
45	3.489800E+2	1.088000E-8	3.504020E+2	1.276000E-8
46	3.570070E+2	1.142000E-8	3.584220E+2	1.343000E-8
47	3.650190E+2	1.500000E-8	3.657900E+2	1.560000E-8
48	3.724650E+2	1.570000E-8	3.732160E+2	1.610000E-8
49	3.798660E+2	1.510000E-8	3.806200E+2	1.780000E-8
50	3.872950E+2	1.710000E-8	3.880440E+2	2.060000E-8
51	3.946920E+2	2.140000E-8	3.954410E+2	2.320000E-8
52	4.020870E+2	2.320000E-8	4.028340E+2	2.320000E-8
53	4.094810E+2	3.030000E-8	4.102310E+2	2.390000E-8
54	4.168780E+2	2.800000E-8	4.176200E+2	2.530000E-8
55	4.242780E+2	2.720000E-8	4.250260E+2	2.420000E-8
56	4.316750E+2	2.870000E-8	4.324260E+2	2.790000E-8
57	4.390900E+2	3.820000E-8	4.398360E+2	2.890000E-8
58	4.464840E+2	6.140000E-8	4.472330E+2	3.180000E-8
59	4.538810E+2	3.460000E-8	4.553950E+2	3.190000E-8
60	4.620450E+2	5.820000E-8	4.627930E+2	3.090000E-8
61	4.694470E+2	2.830000E-8	4.701990E+2	3.670000E-8
62	4.768630E+2	2.820000E-8	4.776090E+2	3.180000E-8
63	4.842640E+2	2.760000E-8	4.850140E+2	3.060000E-8
64	4.916820E+2	2.850000E-8	4.924280E+2	3.040000E-8
65	4.990840E+2	2.830000E-8	4.998300E+2	3.420000E-8
66	5.064780E+2	2.680000E-8	5.072260E+2	3.270000E-8
67	5.138710E+2	2.880000E-8	5.146220E+2	4.050000E-8
68	5.212670E+2	3.380000E-8	5.220200E+2	4.120000E-8
69	5.286780E+2	3.710000E-8	5.294250E+2	5.240000E-8
70	5.360860E+2	4.340000E-8	5.368310E+2	5.880000E-8
71	5.434800E+2	4.620000E-8	5.442300E+2	5.700000E-8
72	5.508810E+2	3.890000E-8	5.516300E+2	5.360000E-8
73	5.582710E+2	4.080000E-8	5.590200E+2	5.130000E-8
74	5.656830E+2	3.590000E-8	5.664320E+2	4.840000E-8
75	5.730760E+2	4.610000E-8	5.738260E+2	5.500000E-8
76	5.804800E+2	4.080000E-8	5.812280E+2	4.320000E-8
77	5.878860E+2	3.560000E-8	5.886330E+2	4.120000E-8
78	5.952910E+2	4.390000E-8	5.960410E+2	5.510000E-8
79	6.026940E+2	4.710000E-8	6.034440E+2	6.110000E-8
80	6.101000E+2	4.150000E-8	6.108480E+2	5.630000E-8
81	6.175160E+2	5.250000E-8	6.182600E+2	5.280000E-8
82	6.249060E+2	5.610000E-8	6.263820E+2	6.240000E-8
83	6.330370E+2	5.720000E-8	6.337870E+2	6.540000E-8
84	6.404450E+2	5.380000E-8	6.411950E+2	6.580000E-8
85	6.478390E+2	6.640000E-8	6.493230E+2	6.880000E-8
86	6.559760E+2	5.360000E-8	6.574520E+2	8.230000E-8
87	6.641050E+2	7.660000E-8	6.655820E+2	8.940000E-8
88	6.722240E+2	1.710000E-7	6.735290E+2	2.620000E-7
89	6.799220E+2	7.790000E-8	6.813050E+2	2.890000E-8
90	6.879500E+2	4.240000E-8	6.894240E+2	1.382000E-4
91	6.955500E+2	1.082000E-8	6.981930E+2	1.043000E-6
92	7.042300E+2	1.626000E-4	7.050890E+2	3.130000E-4
93	7.110420E+2	3.060000E-4	7.118040E+2	3.190000E-4
94	7.177380E+2	3.150000E-4	7.184970E+2	3.220000E-4
95	7.244340E+2	3.150000E-4	7.251950E+2	3.200000E-4
